Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,212.000000,212.149994,211.630005,211.809998,210.992661,23774700
2019-12-24,212.000000,212.089996,211.440002,211.919998,211.102234,7089000
2019-12-26,212.259995,213.809998,212.229996,213.789993,212.965012,17067500
2019-12-27,214.539993,214.559998,213.039993,213.610001,212.785721,18134100
2019-12-30,213.500000,213.630005,211.160004,212.210007,211.391129,21815500
2019-12-31,211.529999,212.759995,211.199997,212.610001,211.789566,18170900
2020-01-02,214.399994,216.160004,213.979996,216.160004,215.325897,30969400
2020-01-03,213.300003,215.470001,213.279999,214.179993,213.353516,27518900
2020-01-06,212.500000,215.589996,212.240005,215.559998,214.728195,21655300
2020-01-07,215.639999,216.139999,214.850006,215.529999,214.698303,22139300
2020-01-08,215.500000,218.139999,215.160004,217.149994,216.312057,26397300
2020-01-09,218.940002,219.410004,217.710007,218.990005,218.144974,23547000
2020-01-10,219.850006,219.869995,218.039993,218.429993,217.587112,21898500
2020-01-13,219.330002,220.979996,218.979996,220.949997,220.097397,22756900
2020-01-14,220.839996,221.210007,219.740005,220.080002,219.230759,24418100
2020-01-15,220.199997,221.199997,219.449997,220.169998,219.320404,25742100
2020-01-16,221.270004,222.320007,220.800003,222.279999,221.422256,18805000
2020-01-17,223.279999,223.559998,222.119995,223.380005,222.518021,24325200
2020-01-21,222.759995,223.839996,222.660004,223.279999,222.418411,21146300
2020-01-22,224.410004,225.149994,223.589996,223.869995,223.006119,20736400
2020-01-23,223.740005,224.690002,222.699997,224.589996,223.723358,26496100
2020-01-24,225.639999,225.880005,221.669998,222.699997,221.840652,37436500
2020-01-27,217.669998,219.279999,217.179993,218.100006,217.258408,42264400
2020-01-28,219.639999,221.960007,219.059998,221.449997,220.595474,26731900
2020-01-29,222.679993,222.929993,220.830002,221.809998,220.954071,28924500
2020-01-30,220.380005,222.699997,219.690002,222.600006,221.741043,39406800
2020-01-31,223.529999,223.559998,218.289993,219.070007,218.224670,52015800
2020-02-03,220.139999,222.889999,219.990005,222.380005,221.521881,25468300
2020-02-04,225.419998,227.860001,224.649994,227.470001,226.592239,30691200
2020-02-05,230.210007,230.250000,226.850006,228.220001,227.339355,38534800
2020-02-06,228.789993,230.250000,227.979996,230.190002,229.301743,22467100
2020-02-07,229.160004,230.440002,228.539993,229.199997,228.315552,25884900
2020-02-10,228.440002,231.979996,228.380005,231.970001,231.074875,21375000
2020-02-11,233.250000,234.020004,231.399994,232.009995,231.114700,30198000
2020-02-12,233.380005,234.380005,232.800003,234.270004,233.365997,24471300
2020-02-13,232.639999,234.929993,232.360001,233.970001,233.067154,22773200
2020-02-14,234.339996,234.860001,233.550003,234.639999,233.734573,23438500
2020-02-18,233.500000,235.169998,233.250000,234.729996,233.824219,24394500
2020-02-19,236.130005,237.470001,235.850006,236.979996,236.065536,22230500
2020-02-20,236.460007,236.949997,231.880005,234.779999,233.874023,42604000
2020-02-21,233.610001,234.009995,229.320007,230.270004,229.381439,66017200
2020-02-24,221.679993,224.250000,220.259995,221.389999,220.535706,84522600
2020-02-25,223.250000,223.990005,214.740005,215.369995,214.538910,97743000
2020-02-26,216.710007,220.279999,214.899994,216.479996,215.644638,79537700
2020-02-27,210.899994,216.419998,205.500000,205.639999,204.846466,121822600
2020-02-28,198.639999,207.169998,198.169998,205.800003,205.005859,149247100
2020-03-02,208.880005,216.570007,205.940002,216.419998,215.584869,112933900
2020-03-03,217.110001,219.610001,207.619995,209.479996,208.671661,131953500
2020-03-04,213.320007,218.330002,211.369995,218.220001,217.377930,73086200
