Date,Close
2008. 04. 04,77.61
2008. 04. 07,77.31
2008. 04. 08,77.35
2008. 04. 09,77.65
2008. 04. 10,77.42
2008. 04. 11,77.87
2008. 04. 14,77.61
2008. 04. 15,77.35
2008. 04. 16,76.94
2008. 04. 17,76.87
2008. 04. 18,76.93
2008. 04. 21,77.06
2008. 04. 22,77.23
2008. 04. 23,77.16
2008. 04. 24,76.83
2008. 04. 25,76.73
2008. 04. 28,77
2008. 04. 29,76.95
2008. 04. 30,77.57
2008. 05. 01,77.28
2008. 05. 05,77.24
2008. 05. 06,76.96
2008. 05. 07,77.07
2008. 05. 09,77.4
2008. 05. 12,77.32
2008. 05. 13,76.92
2008. 05. 14,76.97
2008. 05. 15,77.38
2008. 05. 16,77.23
2008. 05. 19,77.44
2008. 05. 20,77.41
2008. 05. 21,77.39
2008. 05. 22,77.08
2008. 05. 23,77.41
2008. 05. 27,76.98
2008. 05. 28,76.58
2008. 05. 29,76.45
2008. 05. 30,76.5
2008. 06. 02,76.59
2008. 06. 03,76.89
2008. 06. 04,76.52
2008. 06. 05,76.17
2008. 06. 06,76.56
2008. 06. 09,75.93
2008. 06. 10,75.5
2008. 06. 11,75.94
2008. 06. 12,75.11
2008. 06. 13,75.18
2008. 06. 16,75.25
2008. 06. 17,75.5
2008. 06. 18,75.75
2008. 06. 19,75.56
2008. 06. 20,75.71
2008. 06. 23,75.45
2008. 06. 24,75.77
2008. 06. 25,75.8
2008. 06. 26,75.8
2008. 06. 27,76
2008. 06. 30,76.25
2008. 07. 01,75.9
2008. 07. 02,75.64
2008. 07. 07,75.74
2008. 07. 08,76.17
2008. 07. 09,76.18
2008. 07. 10,76.39
2008. 07. 11,75.91
2008. 07. 14,76.32
2008. 07. 15,76.39
2008. 07. 16,75.76
2008. 07. 17,75.41
2008. 07. 18,75.29
2008. 07. 21,75.45
2008. 07. 22,75.22
2008. 07. 23,75.25
2008. 07. 24,75.79
2008. 07. 25,75.31
2008. 07. 28,75.81
2008. 07. 29,75.69
2008. 07. 30,75.71
2008. 07. 31,75.97
2008. 08. 01,75.8
2008. 08. 04,75.66
2008. 08. 05,75.35
2008. 08. 06,75.25
2008. 08. 07,75.73
2008. 08. 08,75.7
2008. 08. 11,75.38
2008. 08. 12,75.72
2008. 08. 13,75.52
2008. 08. 14,75.71
2008. 08. 15,75.95
2008. 08. 18,76.15
2008. 08. 19,76.01
2008. 08. 20,76.18
2008. 08. 21,76.16
2008. 08. 22,76
2008. 08. 25,76.21
